127.0.0.1 - - [02/Jul/2018:22:16:34 -0400] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:16:49 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:17:17 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:17:21 -0400] "GET /roridedi3assignment4/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:17:29 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:18:49 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:20:36 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 947
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:23:48 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 3241
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:25:07 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 3139
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:25:09 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 500 1605
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:28:15 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:30:23 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:33:47 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 2354
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:38:14 -0400] "GET /roridedi3assignment4/index.jsp?action=edit HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:38:19 -0400] "GET /roridedi3assignment4/index.jsp?action=edit HTTP/1.1" 404 1011
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:38:51 -0400] "POST /roridedi3assignment4/RegistrationServlet HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:38:54 -0400] "GET /roridedi3assignment4/index.html?action=edit HTTP/1.1" 200 1991
0:0:0:0:0:0:0:1 - - [02/Jul/2018:22:53:15 -0400] "GET /roridedi3assignment4/index.html?action=edit HTTP/1.1" 304 -
